"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords"
"Zieglmeier V.; Pretschner A.","Zieglmeier, Valentin (57208737138); Pretschner, Alexander (12645083400)","57208737138; 12645083400","Rethinking People Analytics With Inverse Transparency by Design","2023","Proceedings of the ACM on Human-Computer Interaction","7","CSCW2","3610083","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159690260&doi=10.1145%2f3610083&partnerID=40&md5=625b0a2d68bc7d37190f705408cd0e46","Employees work in increasingly digital environments that enable advanced analytics. Yet, they lack oversight over the systems that process their data. That means that potential analysis errors or hidden biases are hard to uncover. Recent data protection legislation tries to tackle these issues, but it is inadequate. It does not prevent data misusage while at the same time stifling sensible use cases for data. We think the conflict between data protection and increasingly data-driven systems should be solved differently. When access to an employees' data is given, all usages should be made transparent to them, according to the concept of inverse transparency. This allows individuals to benefit from sensible data usage while addressing the potentially harmful consequences of data misusage. To accomplish this, we propose a new design approach for workforce analytics software we refer to as inverse transparency by design. To understand the developer and user perspectives on the proposal, we conduct two exploratory studies with students. First, we let small teams of developers implement analytics tools with inverse transparency by design to uncover how they judge the approach and how it materializes in their developed tools. We find that architectural changes are made without inhibiting core functionality. The developers consider our approach valuable and technically feasible. Second, we conduct a user study over three months to let participants experience the provided inverse transparency and reflect on their experience. The study models a software development workplace where most work processes are already digital. Participants perceive the transparency as beneficial and feel empowered by it. They unanimously agree that it would be an improvement for the workplace. We conclude that inverse transparency by design is a promising approach to realize accepted and responsible people analytics.  © 2023 ACM.","data sovereignty; HR analytics; privacy by design; qualitative study","Personnel; Software design; Data driven; Data sovereignty; Data usage; Design approaches; Digital environment; Driven system; HR analytic; Potential analysis; Qualitative study; Users perspective; Transparency"
"Zhang L.; Yencha C.","Zhang, Lixuan (15041322100); Yencha, Christopher (56955653600)","15041322100; 56955653600","Examining perceptions towards hiring algorithms","2022","Technology in Society","68","","101848","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122190388&doi=10.1016%2fj.techsoc.2021.101848&partnerID=40&md5=1d4f4647c1e83e1764fd96360bdbf547","Companies are increasingly turning to AI software to select candidates, despite concerns that hiring algorithms may produce biased evaluations. This study explores the public perceptions of algorithms used in resume and video interview screening. In addition, the effects of individual characteristics on these perceptions are examined. Using a nationally representative sample, we find that the public generally has a negative attitude towards the use of algorithms in hiring, and the majority do not consider them fair and effective. We also find clear individual differences regarding the perceptions towards algorithms. Specifically, males, people with higher education level and people with higher income have more positive perceptions towards hiring algorithms than their counterparts. The findings contribute to the emerging body of research on hiring algorithms and suggest strategies to increase public acceptance of hiring algorithms. © 2022","Algorithm acceptance; Algorithms; Artificial intelligence; Effectiveness; Fairness; People analytics","Artificial intelligence; Algorithm acceptance; Effectiveness; Fairness; High educations; Individual characteristics; Individual Differences; People analytic; Public acceptance; Public perception; Representative sample; algorithm; artificial intelligence; perception; software; Employment"
"Ruslan I.F.; Alby M.F.; Lubis M.","Ruslan, Ishak Firdauzi (58091871800); Alby, Muhammad Fahmi (58091871900); Lubis, Muharman (49663689900)","58091871800; 58091871900; 49663689900","Applying Data Governance using DAMA-DMBOK 2 Framework: The Case for Human Capital Management Operations","2022","ACM International Conference Proceeding Series","","","","336","342","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147445913&doi=10.1145%2f3568834.3568866&partnerID=40&md5=0765204bc84a05d1a14a2d2ef59866da","Technological developments encourage organizations to change the way they work. The function of Human Resources management or now known as Human Capital (HC) has also developed. Decision making, which was usually based on intuition alone, now relies heavily on the use of data especially with the emergence of data analytics for HC which many calls it People Analytics. In building an effective People Analytics, the need for data governance becomes important as data is the main source of information for analysis. The intense use of data becomes a challenge for companies, especially in terms of governance. The DAMA-DMBOK 2 data governance framework model which focuses on 10 data management functions was chosen as it can be adapted to HC context. Each of the management functions within the framework were adopted into several focuses on data management in the context of HC. In applying the concept of data governance, a hierarchy model for data governance operations was chosen as it serves as a guideline for cascading process that covers from the top level into the most basic level of data governance practices. HC data governance was applied using the modified DAMA-DMBOK 2 and can be felt into several levels. However, the limitation of using DAMA-DMBOK 2 framework is that it only focuses on data management focusing on HC, and the framework proposed in this paper is designed for large established companies. © 2022 ACM.","DAMA-DMBOK 2; Human Capital; People Analytics","Behavioral research; Data Analytics; Decision making; Personnel; Capital management; DAMA-DMBOK 2; Data governances; Decisions makings; Human capitals; Human resources management; Management functions; Management operation; People analytic; Technological development; Information management"
"Lee J.Y.; Lee Y.","Lee, Jae Young (57196009632); Lee, Yunsoo (57188731580)","57196009632; 57188731580","Integrative Literature Review on People Analytics and Implications From the Perspective of Human Resource Development","2024","Human Resource Development Review","23","1","","58","87","29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178469592&doi=10.1177%2f15344843231217181&partnerID=40&md5=3c3a6731a2da9872120f7a3d6e74c886","Although people analytics is a fast-emerging field with importance to HRD, HRD researchers still lack a comprehensive understanding of it. This study examines the current body of knowledge in people analytics through the lens of human resource (HR) development by performing an integrative literature review of 91 articles. This study identifies five categories of knowledge: (1) definitions and boundaries of terms, (2) building blocks of people analytics in organizations, (3) types of analytics, (4) ethical issues related to people analytics, and (5) applications of people analytics to the HRD field. This study makes theoretical and practical contributions to the field of HR development by exploring the current state of people analytics and people analytics’ application to HR development practice. It also enhances scholars’ understanding of people analytics within HR development boundaries and provides insights for future research. Finally, this study provides practical guidance for HR development practitioners seeking to leverage people analytics in their work. © The Author(s) 2023.","human resource analytics; human resource development; people analytics; workforce analytics",""
"Bonilla-Chaves E.F.; Palos-Sánchez P.R.","Bonilla-Chaves, Eithel F. (57361576000); Palos-Sánchez, Pedro R. (57193833640)","57361576000; 57193833640","Exploring the Evolution of Human Resource Analytics: A Bibliometric Study","2023","Behavioral Sciences","13","3","244","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150996431&doi=10.3390%2fbs13030244&partnerID=40&md5=0a5e4c8a0d9424e5858e429e92e1d381","The objective of this study is to identify and analyze the most relevant scientific work being undertaken in HR analytics. Additionally, it is to understand the evolution of the conceptual, intellectual, and social structure of this topic in a way that allows the expansion of empirical and conceptual knowledge. Bibliometric analysis was performed using Bibliometrix and Biblioshiny software packages on academic articles indexed on the Scopus and Web of Science (WoS) databases. Search criteria were applied, initially resulting in a total of 331 articles in the period 2008–2022. Finally, after applying exclusion criteria, a total of 218 articles of interest were obtained. The results of this research present the relevant notable topics in HR analytics, providing a quantitative analysis that gives an overview of HR analytics featuring tables, graphs, and maps, as well as identifying the main performance indicators for the production of articles and their citations. The scientific literature on HR analytics is a novel, adaptive area that provides the option to transform traditional HR practices. Through the use of technology, HR analytics can improve HR strategies and organisational performance, as well as people’s experiences. © 2023 by the authors.","bibliometric analysis; bibliometrix; HR analytics; management and organisational behaviour; people analytics; strategic HRM practices",""
"Badinelli R.D.; Spohrer J.; Demirkan H.","Badinelli, Ralph D. (6602652331); Spohrer, Jim (57203975876); Demirkan, Haluk (8652494600)","6602652331; 57203975876; 8652494600","Minitrack: Smart Service Systems Design","2022","Proceedings of the Annual Hawaii International Conference on System Sciences","2022-January","","","1995","1996","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152232021&partnerID=40&md5=09cac95f979d35d02bac188e01e613d1","The focus of the Minitrack for HICSS-55 is smart service systems in the AI era. Smart service systems are a growing topic of study in both the information systems, systems science and service science literature. The coming decade will witness the innovation of smart service systems driven by AI and intelligent agents, both for automation and augmentation. Applying the appropriate management, organizational, architectural, technological and design methodologies related to this innovation of smarter and wiser service systems is much needed. The goal of this track is to explore the challenges, issues and opportunities related to innovation of smart service systems that enable value co-creation with artificial intelligence, people, analytics and organizations. We are interested in novel theories, approaches and applications for innovation of smart service systems. © 2022 IEEE Computer Society. All rights reserved.","","Artificial intelligence; Design; Design Methodology; Management methodologies; Organisational; Service system designs; Service systems; Services Science; Smart services; Systems-driven; Technological methodology; Value co creations; Intelligent agents"
"Di Prima C.; Ferraris A.","Di Prima, Christian (58749031000); Ferraris, Alberto (56168763600)","58749031000; 56168763600","Rethinking the HR Role: How Digital Transformation is Changing HR Departments","2024","Springer Proceedings in Complexity","","","","641","648","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182007693&doi=10.1007%2f978-3-031-44721-1_48&partnerID=40&md5=142fbfcf92ff438887c463f32b4b9695","Digitalization is enormously changing the workforce: its size was reduced, as more and more tasks are automated, and an increasingly specialized staff is required for the remaining ones. Work environments have also been impacted by the phenomenon, which has completely transformed the way employees interact with each other, the information they use to perform their jobs, their attitudes toward their careers, and their expectations towards their employers. Many of these changes are due to new technological advances and to the increasing availability of HR data, and this trend is likely to increase further in the future. In fact, with the advancement of digitization, new sources of structured and unstructured data are becoming accessible to HR practitioners, enabling them to analyze the complexity of HR decision making more deeply. Organizations have at their disposal a wealth of information related to their workforce and organizational performance, as well as various external sources that, when combined, can be treated as big data that can offer useful information for business-driven decision-making, if approached with the appropriate analytical tools. HR departments are thus facing a period of transformation in order to take advantage of the opportunities arising from the aforementioned innovations, as well as to deal with increasingly numerous and complex challenges. HR department members must not miss the important opportunity for professional growth offered by digital transformation. Despite the obvious difficulty in adapting to this relatively recent phenomenon, which to be fully exploited requires skills that until now were not required to them, HRs will have to work hard to claim the legitimacy of conducting operations with a new data-driven approach, developing the necessary skills. This should therefore not be seen as a complication of their duties, but as the long-awaited opportunity to finally consolidate the strategic importance of the function. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Digital transformation; HR analytics; HR department; HR management; People analytics",""
"Prasetyaningtyas S.W.; Rohman A.; Loeis M.; Mahatmaputra S.; Siek M.","Prasetyaningtyas, Sekar Wulan (57210969972); Rohman, Abdul (57956599000); Loeis, Minaldi (57219694992); Mahatmaputra, Samuel (56669859500); Siek, Michael (6504123549)","57210969972; 57956599000; 57219694992; 56669859500; 6504123549","The Adoption Model of People Analytics in Higher Education: A Soft System Approach","2022","2022 International Seminar on Application for Technology of Information and Communication: Technology 4.0 for Smart Ecosystem: A New Way of Doing Digital Business, iSemantic 2022","","","","338","342","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141471393&doi=10.1109%2fiSemantic55962.2022.9920427&partnerID=40&md5=bcdba653922f5394aae75de5fed75eef","The Adoption of the People Analytics process, especially in higher education, is highly complex and should be understood by scholars. We use seven stages of soft systems methodology to contribute to a deeper understanding of The Adoption of the People Analytics process, especially in higher education as a policy issue. The research was done in one of Indonesia's most prominent private universities. The method used was an exploratory study. In-depth interviews were done to gather data. The main interviewees were all stakeholders (H.R. Director, Business Incubator Director, Research Manager, and more) related to the process. The outcomes showed the actors involved and the obstacles experienced by the actors in transforming the existing condition into the analytics one. The paper proposed a people analytics adoption model in higher education using the soft system approach. The research limitation was due to the limited research object used, so broader research using this approach is urgent to understand the model.  © 2022 IEEE.","digital transformation; innovation; soft system methodology; vocational high school","Adoption model; Digital transformation; High educations; Higher School; Indonesia; Innovation; Policy issues; Soft systems approach; Soft systems methodology; Vocational high school; E-learning"
"Saini D.; Singh A.","Saini, Damini (57211693831); Singh, Akanchha (57224769464)","57211693831; 57224769464","Challenges associated with HR analytics with special focus on Indian firms","2023","HR Analytics in an Era of Rapid Automation","","","","64","79","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169520540&doi=10.4018%2f978-1-6684-8942-0.ch005&partnerID=40&md5=aeeba388bd082aeababa4ed25356b22f","HR analytics is becoming increasingly important for organizations to manage their workforce effectively and make data-driven decisions. Several studies have explored the current state of HR analytics in organizations, their challenges, and the emerging trends in the field. In fact, 71% of companies see people analytics as a high priority in their organizations. In this chapter, initially, the authors will focus on the emergence of HR analytics and the current form of it. Then, the chapter will focus more on the challenges associated with the integration of analytics in the organisations This chapter can help Indian HR professionals and researchers stay up-to-date with the current state and latest trends in the field. Furthermore, this chapter can highlight the challenges associated in various forms and shapes and how they can handle these challenges. This can further improve their decision-making and drive business outcomes positively. © 2023, IGI Global. All rights reserved.","",""
"Bar-Gil O.; Ron T.; Czerniak O.","Bar-Gil, Oshri (58176327400); Ron, Tom (57222403413); Czerniak, Ofir (58399197400)","58176327400; 57222403413; 58399197400","AI for the people? Embedding AI ethics in HR and people analytics projects","2024","Technology in Society","77","","102527","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189755023&doi=10.1016%2fj.techsoc.2024.102527&partnerID=40&md5=74a28329f9feddb950e544ac9504558e","Technological advances and the “zeitgeist” led to increased use of AI in HR Analytics. Using machine learning models in this field might be beneficial but requires some unique considerations in how organizations govern, assure, audit, and support the use of AI. While substantial work has been done on AI ethics, organizational implantation studies are rare and often anecdotal, particularly in HR. In this article, we would like to better understand the common ethical considerations and organizational responses for developing AI for HR use and how different organizations engage with them by comparing two case studies. This paper begins by reviewing AI ethical issues specific to HR and describes the common mitigation strategies proposed in the literature. After this introduction, case studies are illustrated, and the organizational responses in both cases are analyzed. The discussion section shows that although the organizations were aware of the AI ethics issues, their responses varied and depended on different governance and self-regulation mechanisms that might have impinged their ability to proactively engage with ethical issues. A second finding is that the organization used only a relatively small set of mitigation strategies proposed in the literature, and we propose several reasons for this. These insights might be important to various organizations deploying or developing AI for HR use that want better governance, assurance, and audit mechanisms to responsibly address the ethical issues raised by AI in this field. © 2024 Elsevier Ltd","AI ethics; Ethical deliberation; HR analytics; People analytics","AI ethic; Case-studies; Embeddings; Ethical deliberation; Ethical issues; HR analytic; Mitigation strategy; Organisational; People analytic; Technological advances; analytical framework; artificial intelligence; ethics; human resource; machine learning; Ethical technology"
"Atiku S.O.; Menjengua D.K.; Jeremiah A.; Villet H.J.","Atiku, Sulaiman Olusegun (56366928500); Menjengua, Doreen K. (58855402700); Jeremiah, Andrew (57210991352); Villet, Hylton James (57882167100)","56366928500; 58855402700; 57210991352; 57882167100","Data-driven talent management practices for eco-innovation in state-owned enterprises","2023","Data-Driven Decision Making for Long-Term Business Success","","","","369","394","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183677294&doi=10.4018%2f979-8-3693-2193-5.ch025&partnerID=40&md5=adf7c3657bf7112a903b4a02950302d1","This study explores the influence of data-driven talent management practices on eco-innovation in state- owned enterprises. A literature review was conducted to examine the role of people data, HR metrics, and people analytics in enhancing talent management practices and eco-innovation in state-owned enterprises. Findings revealed that people data is essential for making talent decisions and developing effective talent retention strategies. Additionally, two key drivers of eco-innovations were identified and grouped into external and internal drivers. External drivers include environmental regulations, competition pressures, and customers' demands for eco-friendly products and services. Internal drivers are organizational capabilities, technological capabilities, and corporate social responsibility. Therefore, data-driven talent development interventions are necessary for advancing organizational and technological capabilities to boost eco-innovation performance in state-owned enterprises. © 2024, IGI Global. All rights reserved.","",""
"Mariano R.V.R.; de Jesus A.C.C.; Vieira A.G.; da Assunção Almeida de Lima J.; de Castro G.Z.; Brandão W.C.","Mariano, Richard Vinícius Rezende (57215414614); de Jesus, Ana Carolina Conceição (57203117504); Vieira, Alessandro Garcia (58296334900); da Assunção Almeida de Lima, Jessica (58297878900); de Castro, Giulia Zanon (58297435400); Brandão, Wladmir Cardoso (35098269100)","57215414614; 57203117504; 58296334900; 58297878900; 58297435400; 35098269100","Natural Language Processing Approach for Classification of Archetypes Using Text on Business Environments","2023","International Conference on Enterprise Information Systems, ICEIS - Proceedings","1","","","501","508","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160681162&doi=10.5220%2f0011856200003467&partnerID=40&md5=04aed61338668f842d412cde7607e1e7","Organizations increasingly offer resources to improve performance, minimize costs, and achieve better results. An organization is the individuals who work or provide services in it. Therefore, good organizational performance directly results from the good work of its collaborators. Identifying the archetype in the business environment can combine individuals with companies, which can improve the organizational environment and enhance the development of the individual. A person leaves traces of his behavior in what he produces, such as videos and texts. Some studies point to the possibility of identifying a behavioral profile from a textual production. In this work, we seek to identify the archetype of individuals within the business environment based on their curriculum texts. We combine the behavioral profile assessment (BPA) archetypes (Planner, Analyst, Communicator, and Executor) with 26, 636 curriculum to apply machine learning models. For this task, we used classification and regression approaches. The main algorithm used for the approaches was the SVM. The results suggest that the archetypes are better modeled using regression techniques, obtaining an MSE of 4.49 in the best case. We also provide a visual explanation example to understand the model outputs. Copyright © 2023 by SCITEPRESS - Science and Technology Publications, Lda. Under CC license (CC BY-NC-ND 4.0)","Behavioral Classification; Machine Learning; Natural Language Processing; People Analytics; Support Vector Machine; Text Classification","Classification (of information); Curricula; Learning algorithms; Learning systems; Natural language processing systems; Text processing; Behavioral classification; Behavioural profiles; Business environments; Language processing; Machine-learning; Natural language processing; Natural languages; People analytic; Support vectors machine; Text classification; Support vector machines"
"Mahendran C.; Krithika M.","Mahendran, C. (58988792400); Krithika, M. (57192428912)","58988792400; 57192428912","Exploring the Organizational Factors Hindering the HR Analytics Adoption in Manufacturing Industries","2024","2024 11th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions), ICRITO 2024","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193778947&doi=10.1109%2fICRITO61523.2024.10522258&partnerID=40&md5=15eb805ecb0dc6e027a0a9dab89a5a4d","This study examines HR analytics implementation barriers in Chennai's manufacturing sector and offers solutions. A literature review of HR analytics adoption and implementation studies, demographic data, and correlation analysis between HR analytics adoption and organizational factors are included. The goal is to understand HR analytics' challenges and solutions for Chennai's manufacturing industries. This suggests HR analytics adoption rises with Organizational Factors. This suggests that HR Analytics adoption rises with organizational Factors. This shows the importance of improving organizational factors to promote HR Analytics adoption and implementation in Chennai's manufacturing industries. This study concludes that HR analytics could benefit Chennai's manufacturing sector but faces data issues, cultural barriers, skill gaps, change resistance, budget constraints, and legacy systems. Studies on manufacturing firms' HR analytics implementation challenges and successes are reviewed in the literature. The demographic profile analysis shows the surveyed population's gender, age, marital status, manufacturing experience, and HR analytics duration. Organizational Factors and HR Analytics Adoption have a significant positive correlation, emphasizing the importance of addressing them to promote HR analytics adoption. This information shows the challenges and opportunities of implementing HR analytics in Chennai's manufacturing industries and provides valuable insights for organization's looking to improve workforce management and decision-making. © 2024 IEEE.","Barriers; Chennai; Correlation Analysis; Data Analytics in HR; Data driven decision making; HR analytics; HR professionals; manufacturing industry; Organizational Factors; People Analytics; Recruitment analytics; workforce planning","Behavioral research; Budget control; Correlation methods; Data Analytics; Factor analysis; Legacy systems; Personnel; Population statistics; Barrier; Chennai; Correlation analysis; Data analytic in HR; Data analytics; Data driven decision; Data driven decision making; Decisions makings; HR analytic; HR professional; Manufacturing industries; Organizational factors; People analytic; Recruitment analytic; Workforce planning; Decision making"
"Chang Y.-L.; Ke J.","Chang, Yu-Ling (57224225417); Ke, Jie (56591757100)","57224225417; 56591757100","Socially Responsible Artificial Intelligence Empowered People Analytics: A Novel Framework Towards Sustainability","2024","Human Resource Development Review","23","1","","88","120","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170830419&doi=10.1177%2f15344843231200930&partnerID=40&md5=29b8059344b42f58f490086fe256d3c4","Series of reports on AI misconduct from multiple renowned organizations have triggered a surge of public awareness, calling for more responsible and sustainable use of AI. Noting socially responsible AI (SRAI) as a new concept in the field of PA and HRD, we delved into the subject through an integrative literature review of 75 articles and incorporated three sustainability concepts into AI-enabled PA: corporate social responsibility (CSR), environment, social, and governance (ESG), and UN sustainable development goals (SDGs). Through a stakeholder view, we identified major SRAI stakeholders (subjects) and analyzed their essential considerations (objectives), the impediments of AI technology (causes), and the solutions (means). The analysis illuminated key requirements and considerations for enhancing AI-enabled PA to SRAI-empowered PA towards sustainability. Moreover, we proposed a holistic framework to thoroughly understand SRAI in theory and provided practical implications, recommendations, and future research directions for HRD scholars and professionals. © The Author(s) 2023.","artificial intelligence; people analytics; socially responsible AI; sustainability",""
"Hüllmann J.A.","Hüllmann, Joschka Andreas (57202990766)","57202990766","RECONCILING THE DEBATE ON PEOPLE ANALYTICS IN ACADEMIA AND PRACTICE","2022","35th Bled eConference: Digital Restructuring and Human (Re)action, BLED 2022 - Proceedings","","","","539","554","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140013428&doi=10.18690%2fum.fov.4.2022.34&partnerID=40&md5=055339dd55d44b0c0519cf67530e6686","People analytics depicts the algorithmization of human resources management characterized by the data-driven automation and support of people-related processes or tasks. On the one hand, people analytics promises productivity increases through optimizing workforce planning, hiring, or talent development. On the other hand, the extensive data collection and analysis of employees’ behaviors can be perceived as invasive, raising privacy concerns. This debate cannot only be explained by diverging norms and values, for example, practitioners realizing commercial opportunities while being criticized by academic commentaries. Instead, an alternative explanation suggests that the opposing views can be reconciled by diving into the conceptual differences regarding what analytical methods and data sources people analytics entails. Hence, this paper proposes the conceptions of operational and strategic people analytics based on a literature review of academics’ and practitioners’ literature. Four propositions about these conceptions’ privacy and performance implications are derived. Future research should empirically validate these propositions. © BLED 2022. All rights reserved.","conceptions; criticism; operations; people analytics; strategy","Personnel; Algorithmization; Conception; Criticism; Data driven; Human resources management; Operation; People analytic; Productivity increase; Strategy; Workforce planning; Information management"
"Mizan M.","Mizan, Marufa (58976233100)","58976233100","Transformation of HR roles through people analytics: A case study on implementation of SAP success factor by Berger Paint Bangladesh","2024","Cases on Social Media and Entrepreneurship","","","","100","117","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189771745&doi=10.4018%2f979-8-3693-1781-5.ch006&partnerID=40&md5=10cb893aecda67b650c20436c16fdfe0","This case will allow students to have insight about how transformative HR is leveraging employee data to make evidence-based strategic decisions. Berger, striving to increase turnover every four years, faced HR challenges with manual processes and disconnected data across departments. HR functions were hindered by the lack of integration. To address this, Berger implemented SAP SuccessFactors, automating data collection and analysis across departments. The system provides a unified platform for evaluating performance, streamlining recruitment, and aligning employee goals with company strategy. This HR transformation enhances efficiency, eliminates manual updates, and ensures consistency in tracking employees. The move reflects a strategic response to increased customer demand while maintaining product and service quality, offering valuable insights for undergraduate and postgraduate human resource management courses. This study will showcase how HR is gradually shifting to the world of data-centric solutions and facilitating productivity and effectiveness of the firm. © 2024 by IGI Global. All rights reserved.","",""
"Nienaber H.; McNeill R.","Nienaber, Hester (15751492700); McNeill, Richard (56455581000)","15751492700; 56455581000","Leadership Diagnostic: Unlocking Human Competence for Effective Strategy Execution","2022","Proceedings of the European Conference on Management, Leadership and Governance","2022-November","","","347","356","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160534438&partnerID=40&md5=b8b688e5b8eec58759c077c5f6a69ce1","Despite unprecedented technological advancement, people remain the most important resource for businesses to execute strategy. Yet, research reports that not all businesses ensure the optimum functioning of their people. This is evident from reports on (a) low levels of employee engagement, (b) deployed positions do not utilise peoples' 'competence', (c) leadership lacks information linking employees to strategy execution and resultant business performance, (d) measuring employees' contribution to business performance more readily at the tactical and operational levels than the strategic level of measurement, and (e) failure of strategy execution. Neglecting people is an enigma as leadership has long honed tools to make the most of their employees. One such tool is people analytics and another is strategy shaping. Consequently, we explored businesses use of people analytics in strategy execution, the vehicle ensuring business performance. This paper reports on the study. A literature review integrated strategy and people analytics culminating in a diagnostic which leadership can use to unlock human competence. An empirical study followed. Limited empirical evidence on the topic justified an exploratory survey which utilised an online questionnaire to collect vast amounts of standardised data from a purposively selected sample as best fit, which is uncommon. The data were descriptively analysed. The findings (a) showed that strategic level measurement is present at all levels of strategy shaping, and (b) overlooked at the business operational level where strategy is translated and executed, (c) revealed that these overlooked measurements are consequential for unlocking human competence, and (d) illustrated how people link to strategy execution. These findings provide preliminary evidence necessitating further descriptive and explanatory studies. This diagnostic provides requisite information enabling leadership to optimise the functioning of their employees by deploying suitably competent people in appropriate positions, rendering them available to perform, resulting in higher engagement levels, enhancing effective strategy execution, and improving business performance. This study contributes knowledge by demonstrating how people link to strategy execution, enabling leadership to make better decisions by discerning and selecting the critical people measures ensuring strategy execution and thus, business performance. © 2022 Authors. All rights reserved.","business performance; human competence; Leadership diagnostic; people analytics; strategy execution","Personnel; Vehicle performance; Business performance; Employee engagement; Human competence; Leadership diagnostic; Operational level; People analytic; Research reports; Strategic level; Strategy execution; Technological advancement; Commerce"
"Hota J.","Hota, Jyotiranjan (57202536939)","57202536939","Framework of Challenges Affecting Adoption of People Analytics in India Using ISM and MICMAC Analysis","2024","Vision","28","1","","76","86","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112055523&doi=10.1177%2f09722629211029007&partnerID=40&md5=d8492b711da37d8c7630d35ba54c72db","People analytics has brought a paradigm shift in the processes, technologies and systems of organizations. Success is driven here through data-driven methodologies. The primary objective of this research is to identify, rank and interrelate challenges affecting the adoption of people analytics in India. The interpretative structural modelling (ISM) approach is applied to rank and interrelate these challenges in the Indian context. MICMAC analysis is conducted to reveal the driving power and dependence of these challenges of people analytics. The MICMAC analysis also indicates the relative importance and interdependence between these challenges in the Indian context. During the first phase of the research, 12 challenges are identified from the literature, and these people analytics challenges are validated based on expert opinions. During the second phase, ISM identifies ‘Leveraging existing enterprise resources’ as the most important challenge in the Indian context among the 11 validated challenges. MICMAC analysis identifies all 11 challenges as ‘linkage challenges’ with high dependence and driving power. For researchers, this methodology facilitates further carrying out exploratory studies and focusing their interactions through hierarchical structures. The study investigates the core issue among many issues faced by people analytics professionals. Second, it has methodological novelty in the context. Finally, it points to multidimensional implications for various stakeholders in people analytics in the Indian context. © 2021 MDI.","Hierarchical Structure; Interpretive Structural Modelling (ISM); MICMAC Analysis; People Analytics; Qualitative Modelling",""
"Kaur A.; Gangwar V.P.; Kaur P.; Jasrai L.","Kaur, Amandeep (57965503100); Gangwar, Veer P. (57215569097); Kaur, Prabhjeet (59135578200); Jasrai, Lokesh (56968135700)","57965503100; 57215569097; 59135578200; 56968135700","Moderation effect of training on employee job performance in retail stores: A conceptual framework for industry 5.0 people analytics","2024","Convergence of Human Resources Technologies and Industry 5.0","","","","211","225","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194023159&doi=10.4018%2f979-8-3693-1343-5.ch011&partnerID=40&md5=54896353fc9a4ffe36eeb294f3b4ccfb","The current study tries to explore the relationship between training of employees and job performance in retail stores in Industry 5.0. It introduces a conceptual framework designed to interplay between training initiatives and employee job performance. On the other hand, chapters provide insights for practitioners and researchers in people analytics. Data analysis highlights the importance of employee performance in Punjab's diverse retail landscape and also emphasizes the need for effective training to meet customer demand and seasonal market changes, ensuring consistent customer satisfaction. The literature review provides insights into employee training's impact on job performance while focusing on the retail sector. Moderation analysis shows how training initiatives influence performance outcomes. In this chapter, the authors introduce a comprehensive conceptual framework that synthesizes literature and real-world illustrations and interplays between training and performance variables within the retail sector of Punjab. The analytical approach is used to establish a basis for future analysis and investigations, including of the approaches used for data collection. The data has been analyzed using 138 responses. The smart pls has been used to generate model analysis. The chapter provides practical implications for a conceptual framework for retail organizations and offers recommendations for optimizing employee performance through training programs and strategic decision-making in people analytics. In this chapter, the authors explain the role of attrition and attraction and analyze the moderating effects of training initiatives on the 'job performance' of employees in Punjab's retail stores, providing actionable strategies for organizations to optimize their workforce capabilities. © 2024, IGI Global. All rights reserved.","",""
