Source,Abstract
s,"People analytics (PA) is the fastest-growing area of Human Resources Management today, driven significantly by the COVID-19 pandemic, and it will be more crucial when organizations have to decide how to proceed in the “next normal”. Some researches show that HR managers and professionals lack of the “must-have capabilities” (Angrave et al.,.Human Resource Management Journal 26:1–11, 2016), thus highlighting the importance of developing new skills related to the use and implementation of PA; simultaneously, an enrichment of related competencies, which would support the new frame of decision-making activities is requested (Mauro et al.,.Library Review 65:122–135, 2016). Interpreting the recent discussion on Big Data (BD) through the lenses of the resource-based theory, the concept of BD Analytics Capability is used (Gandomi and Haider,.International Journal of Information Management 35:137–144, 2015; Wamba et al.,.Journal of Business Research 70:356–365, 2017) to introduce a theoretical model that considers the HR Departments (HRDs) traditional capabilities required with new skills that consider different flows of information coming from the processing of BD. © The Editor(s) (ifapplicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.2022."
s,"The information technology (IT) services industry is undergoing a rapid change with the growth of market interest in cloud, analytics, mobile, social, and security technologies. For service providers to match this pace, they must rapidly transform their workforce in terms of job roles, and do so without incurring excessive cost while continuing to deliver core services. In this paper, we describe a big data approach to enable such a transformation through internal job transfers of suitable employees from legacy areas to growth areas. Toward this end, we use data on employee expertise to mathematically profile skill sets required for growth area jobs and develop a statistical scoring algorithm to prioritize internal candidates to be transferred to those growth area jobs. We describe how we have enacted this analytics procedure within the IT services division of the IBM Corporation and provide empirical results. We also discuss the lessons learned during the deployment, focusing mostly on organizational reasons preventing wide uptake. © 2015 IEEE."
s,"In the era of data science and big data analytics, people analytics help organizations and their human resources (HR) managers to reduce attrition by changing the way of attracting and retaining talent. In this context, employee attrition presents a critical problem and a big risk for organizations as it affects not only their productivity but also their planning continuity. In this context, the salient contributions of this research are as follows. Firstly, we propose a people analytics approach to predict employee attrition that shifts from a big data to a deep data context by focusing on data quality instead of its quantity. In fact, this deep data-driven approach is based on a mixed method to construct a relevant employee attrition model in order to identify key employee features influencing his/her attrition. In this method, we started thinking 'big' by collecting most of the common features from the literature (an exploratory research) then we tried thinking 'deep' by filtering and selecting the most important features using survey and feature selection algorithms (a quantitative method). Secondly, this attrition prediction approach is based on machine, deep and ensemble learning models and is experimented on a large-sized and a medium-sized simulated human resources datasets and then a real small-sized dataset from a total of 450 responses. Our approach achieves higher accuracy (0.96, 0.98 and 0.99 respectively) for the three datasets when compared previous solutions. Finally, while rewards and payments are generally considered as the most important keys to retention, our findings indicate that 'business travel', which is less common in the literature, is the leading motivator for employees and must be considered within HR policies to retention. © 2013 IEEE."
s,"The present paper proposes a conceptual ontology to evaluate human factors by modelling their key performance indicators and defining these indicators' explanatory factors, manifestations, and diverse corresponding digital footprints. Our methodology incorporates 6 main human resource constructs: performance, engagement, leadership, workplace dynamics, organizational developmental support, and learning and knowledge creation. Using sentiment analysis, we introduce a potential way to evaluate several components of the proposed human factors ontology. We use the Enron email corpus as a test case, to demonstrate how digital footprints can predict such phenomena. In so doing, we hope to encourage further research applying data mining techniques to allow real-time, less costly, and more reliable assessments of human factor patterns and trends. © 2018 John Wiley & Sons, Ltd"
s,"Purpose: This paper aims to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies. Design/methodology/approach: This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context. Findings: This viewpoint review paper concerns itself with forming a People Analytics Effectiveness Wheel framework for decision-making, which demonstrates that a variety of elements make up a successful people analytics team. These include sufficient resources and backing, stakeholder management skills, productized offerings to stakeholders, an effective governance structure, and establishing a data-driven organizational culture. It is recommended that people analytics teams build as much credibility as possible in their quest to quantify the value they add to HR. Originality/value: The briefing saves busy executives and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to-digest format. © 2020, Emerald Publishing Limited."
s,"The digital age of human resource has paved the way to scientific measurement using sophisticated IT tools. Organizations are gradually adopting these tools to effectively measure the contribution of the Human Resource function. The discipline of workforce analytics has gained momentum through use of technology and giving HR its role in being a strategic partner. Various Human Capital Measurement and People analytics tools have come as a result of technological advancements The paper explores the level at which the technology tools are being used for Human Resource Analytics with a perspective to realize the business strategy. The methodology involves case based approach. Data from 10 Information Technology (IT) companies operating in India are collected. Interviews from senior HR practitioners were conducted and data is presented as brief cases. The results show that use of technology in HR Measurement is on the rise and all the sample companies have started investing on data driven decision making and believe that predictive analytics help in evaluating business strategy. © 2019, Research Trend. All rights reserved."
s,"As forces like globalisation and workforce diversity transform the workforce and workplace, organisations need to be agile in responding to employee performance needs and challenges. However, traditional performance management practices are slow and reactive. It has been claimed that technology advancements in people analytics can facilitate performance management by providing organisations with the tools needed to be responsive. This position paper explores emerging trends in people analytics, particularly the integration of people analytics with systems of productivity, hyper-personalised employee experience, and the use of nudges to influence behaviours. It argues that these trends are shifting organisations towards what we call perpetual performance management. Implications are discussed and an IS research agenda is proposed. © 2020 Ekandjo, T, Cranefield, J. and Chiu, Y."
w,"Purpose According to the significant growth of literature and continued adoption of people analytics in practice, it has been promised that people analytics will inform evidence-based decision-making and improve business outcomes. However, existing people analytics literature remains underdeveloped in understanding whether and how such promises have been realized. Accordingly, this study aims to investigate the current reality of people analytics and uncover the debates and challenges that are emerging as a result of its adoption. Design/methodology/approach This study conducts a systematic literature review of peer-reviewed articles focused on people analytics published in the Association of Business School (ABS) ranked journals between 2011 and 2021. Findings The review illustrates and critically evaluates several emerging debates and issues faced by people analytics, including inconsistency among the concept and definition of people analytics, people analytics ownership, ethical and privacy concerns of using people analytics, missing evidence of people analytics impact and readiness to perform people analytics. Practical implications This review presents a comprehensive research agenda demonstrating the need for collaboration between scholars and practitioners to successfully align the promise and the current reality of people analytics. Originality/value This systematic review is distinct from existing reviews in three ways. First, this review synthesizes and critically evaluates the significant growth of peer-reviewed articles focused on people analytics published in ABS ranked journals between 2011 and 2021. Second, the study adopts a thematic analysis and coding process to identify the emerging themes in the existing people analytics literature, ensuring the comprehensiveness of the review. Third, this study focused and expanded upon the debates and issues evolving within the emerging field of people analytics and offers an updated agenda for the future of people analytics research."
w,"Although people analytics is a fast-emerging field with importance to HRD, HRD researchers still lack a comprehensive understanding of it. This study examines the current body of knowledge in people analytics through the lens of human resource (HR) development by performing an integrative literature review of 91 articles. This study identifies five categories of knowledge: (1) definitions and boundaries of terms, (2) building blocks of people analytics in organizations, (3) types of analytics, (4) ethical issues related to people analytics, and (5) applications of people analytics to the HRD field. This study makes theoretical and practical contributions to the field of HR development by exploring the current state of people analytics and people analytics' application to HR development practice. It also enhances scholars' understanding of people analytics within HR development boundaries and provides insights for future research. Finally, this study provides practical guidance for HR development practitioners seeking to leverage people analytics in their work."
w,"Purpose The purpose of this paper is to explore the key ingredients that people analytics teams require to contribute to organizational performance. As the information that is currently available is fragmented, it is difficult for organizations to understand what it takes to execute people analytics successfully. Design/methodology/approach To identify the key ingredients, a narrative literature review was conducted using both traditional people analytics and broader business intelligence literature. The findings were summarized in the People Analytics Effectiveness Wheel. Findings The People Analytics Effectiveness Wheel identifies four categories of ingredients that a people analytics team requires to be effective. These are enabling resources, products, stakeholder management and governance structure. Under each category, multiple sub-themes are discussed, such as data and infrastructure; senior management support; and knowledge, skills, abilities and other characteristics (KSAOs) (enablers). Practical implications Many organizations are still trying to set up their people analytics teams, and many others are struggling to improve decision-making by using people analytics. For these companies, this paper provides a comprehensive overview of the current literature and describes what it takes to contribute to organizational performance using people analytics. Originality/value This paper is designed to provide organizations and researchers with a comprehensive understanding of what it takes to execute people analytics successfully. By using the People Analytics Effectiveness Wheel as a guideline, scholars are now better equipped to research the processes that are required for the ingredients to be truly effective."
w,"For more than two decades, academicians and practitioners have been theorising the role of people analytics in enhancing the efficiency, effectiveness and impact of the human resource (HR) management function, thereby prescribing people analytics as an enabler of HR strategic partnership. The objective of this study is to identify and synthesise existing literature on people analytics and its conceptualised efficacy. This is done with a view to assess how and why people analytics enhances HR as a field and elevates it to a function of strategic significance. The study uses the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) framework for systematic literature review to address the research objective. A total of 90 articles on the subject are identified majorly from Scopus. The analysis of this literature reveals four significant themes underscoring the role people analytics can play in enabling HR as a field and function. These include the following: (a) application of people analytics leads to greater vertical, horizontal and external alignment of the HR function; (b) people analytics facilitates better integration of HR management with the organisation's strategic planning process; (c) people analytics aids the demonstration of causal links between HR management and business performance; and finally (d) people analytics endows the field with scientific rigour, consistency and resulting credibility. The study contributes to the existing knowledge on people analytics and HR strategy linkage by building a foundation and offering specific propositions for empirical enquiry relating the two. The significance of the study also emanates from its focus on the efficacy of people analytics which is being viewed as an HR approach with immense potential."
w,"The increasing use of People Analytics to manage people in organizations ushers in an era of algorithmic management. People analytics are said to allow decision-makers to make evidence-based, bias-free, and objective decisions, and expand workers' opportunities for personal and professional growth. Drawing on a virtue ethics approach, we argue that the use of people analytics in organizations can create a vicious cycle of ethical challenges - algorithmic opacity, datafication, and nudging - which limit people's ability to cultivate their virtue and flourish. We propose that organizations can mitigate these challenges and help workers develop their virtue by reframing people analytics as a fallible companion technology, introducing new organizational roles and practices, and adopting alternative technology design principles. We discuss the implications of this approach for organizations and for the design of people analytics, and propose directions for future research."
w,"In this paper we take stock of the current state of People Analytics and identify ways to increase business impact. We suggest a fourth wave of people analytics, which focuses on impact in MY company, not compared to someone else (benchmarking, reporting), not just mimicking someone else (best practice), and not being enamored with the research methodologies (predictive analytics). This pivots people analytics towards answering questions of value to your key stakeholders (employees, senior management and boards inside and investors, customers and communities outside the organization) instead of questions mostly relevant to HR professionals or regulators. We outline a guidance framework for how people analytics can help shape practical solutions for your company to outperform in areas relevant for you. We argue a focus on guidance will amplify the business impact of people analytics, making it more relevant for management actions."
w,"Technological advances in the field of artificial intelligence (AI) are heralding a new era of analytics and data-driven decision-making. Organisations increasingly rely on people analytics to optimise human resource management practices in areas such as recruitment, performance evaluation, personnel development, health and retention management. Recent progress in the field of AI and ever-increasing volumes of digital data have raised expectations and contributed to a very positive image of people analytics. However, transferring and applying the efficiency-driven logic of analytics to manage humans carries numerous risks, challenges, and ethical implications. Based on a theorising review our paper analyses perils that can emerge from the use of people analytics. By disclosing the underlying assumptions of people analytics and offering a perspective on current and future technological advancements, we identify six perils and discuss their implications for organisations and employees. Then, we illustrate how these perils may aggravate with increasing analytical power of people analytics, and we suggest directions for future research. Our theorising review contributes to information system research at the intersection of analytics, artificial intelligence, and human-algorithmic management."
w,"People analytics has brought a paradigm shift in the processes, technologies and systems of organizations. Success is driven here through data-driven methodologies. The primary objective of this research is to identify, rank and interrelate challenges affecting the adoption of people analytics in India. The interpretative structural modelling (ISM) approach is applied to rank and interrelate these challenges in the Indian context. MICMAC analysis is conducted to reveal the driving power and dependence of these challenges of people analytics. The MICMAC analysis also indicates the relative importance and interdependence between these challenges in the Indian context. During the first phase of the research, 12 challenges are identified from the literature, and these people analytics challenges are validated based on expert opinions. During the second phase, ISM identifies 'Leveraging existing enterprise resources' as the most important challenge in the Indian context among the 11 validated challenges. MICMAC analysis identifies all 11 challenges as 'linkage challenges' with high dependence and driving power. For researchers, this methodology facilitates further carrying out exploratory studies and focusing their interactions through hierarchical structures. The study investigates the core issue among many issues faced by people analytics professionals. Second, it has methodological novelty in the context. Finally, it points to multidimensional implications for various stakeholders in people analytics in the Indian context."
w,"The present paper demonstrates the opportunities of using People Data Analytics technology for a data-driven approach to Human Resource Management along with Big Data and HR Analytics. Our aim was to study the most popular trends in collecting, analyzing, and using workforce data and suggest the ways companies can improve their Human Resource Management by incorporating data and analytics technologies into their people analytics strategies. Drawing on our analysis of the approaches to using People Data Analytics in Human Resource Management, we identify the key applications and services that can be employed, describe data to be analyzed, single out specific methods and technologies, suggest prospects for the development of HR functions to provide better insights into employee performance levels and deliver sustainable competitive advantage. We outline the main characteristics and competencies required for any professional involved in People Data Analytics and offer a framework for the educational program in People Data Analytics. It is imperative for the program to include courses in Statistics, Econometrics, Employee Performance Evaluation, Data Visualization, as well as Use of Data Processing Software."
w,"The study approaches one of the most promissing trends in the human capital management: People Analytics. Lining the Triple Bottom Line concept of sustainability, the organization's core competences and analytical algorithms, this study aims to develop an integrated model to strategically insert People Analytics into the business. In an exploratory way, People Analytics was bibliographically mapped, approaching its potential on behalf of the strategic management of the Human capital. The developed model integrates people, processes and competencies, advocating that the correlation between such components with people management methodologies and analytical algorithms propitiates a human management oriented to the organizational sustainability."
w,"Despite people analytics being a hype topic and attracting attention from both academia and practice, we find only few academic studies on the topic, with practitioners driving discussions and the development of the field. To better understand people analytics and the role of information technology, we perform a thorough evaluation of the available software tools. We monitored social media to identify and analyze 41 people analytics tools. Afterward, we sort these tools by employing a coding scheme focused on five dimensions: methods, stakeholders, outcomes, data sources, and ethical issues. Based on these dimensions, we classify the tools into five archetypes, namely employee surveillance, technical platforms, social network analytics, human resources analytics, and technical monitoring. Our research enhances the understanding of implicit assumptions underlying people analytics in practice, elucidates the role of information technology, and links this novel topic to established research in the information systems discipline."
w,"People analytics depicts the algorithmization of human resources management characterized by the data-driven automation and support of people-related processes or tasks. On the one hand, people analytics promises productivity increases through optimizing workforce planning, hiring, or talent development. On the other hand, the extensive data collection and analysis of employees' behaviors can be perceived as invasive, raising privacy concerns. This debate cannot only be explained by diverging norms and values, for example, practitioners realizing commercial opportunities while being criticized by academic commentaries. Instead, an alternative explanation suggests that the opposing views can be reconciled by diving into the conceptual differences regarding what analytical methods and data sources people analytics entails. Hence, this paper proposes the conceptions of operational and strategic people analytics based on a literature review of academics' and practitioners' literature. Four propositions about these conceptions' privacy and performance implications are derived. Future research should empirically validate these propositions."
w,"Graphs, also called networks, consist of vertices and edges. They are used to represent the interactions between different entities and have found applications in a wide range of scientific fields. Handbook of Graphs and Networks in People Analytics introduces graphs to specialists in the field of people analytics. In this review, we critique this book from different aspects."
w,"Purpose - Given its relative novelty, the field of people analytics remains rather obscure in terms of its success criteria. The purpose of this paper is to unveil some of the hidden secrets of people analytics. Design/methodology/approach - The paper reviews the common characteristics of those companies who have already been successful with it in their operations to date. Findings - These 16 best practices cover the role of the CHRO and the employees as well as HR's general position within a company. Practical implications - While not all of the 16 best practices need to be in place, incorporating a few of them will provide significant benefit to businesses and employees. Social implications - While several of the best practices laid out in this paper directly impact personnel policies, they also all empower HR managers to be a force for good through optimised people analytics. Originality/value - The paper presents a hitherto scattered set of best practices as forerunners in the novel field of people analytics."
w,"Although research identifies analytical and storytelling skills as the two broad human capital inputs required to perform people analytics, further research is required to better understand how People Analysts that is, the enactors of people analytics, perceive the impact of these skills on their performance. Accordingly, this study draws on the human capital resource (HCR) and HCR complementarity frameworks to investigate the individual and collective impact of analytical and storytelling skills on People Analysts perceived job performance. A mixed-method sequential explanatory research design is adopted, finding mixed results. Consistent with existing research, results from Phase 1 find People Analysts perceive storytelling skills to be positively associated with their job performance. However, contrary to existing claims, the findings reveal that analytical skills are only perceived to be significant in influencing People Analysts job performance when combined with storytelling skills, supporting a complementarity HCR relationship. To further explain the findings from Phase 1, Phase 2 involved collecting data from 50 people analytics professionals via semi-structured interviews. Results from the thematic analysis reinforce the survey findings while also illustrating that People Analysts perceive the complementarity relationship between analytical and storytelling skills as important for improving job performance. Accordingly, we argue that debate in this area should be reframed to acknowledge the necessity of complementarities in building people analytics capabilities."
w,"Data Analysis has been one of the most internal themes of the times. In the Digital Transformation that we live in today, there are several and varied as its implementations. However, in Human Resources, even though Human Resource Management Systems (HRIS) is already rooted, the development of data analysis is slow to appear. This is due to the scepticism existing in the area's professionals regarding People Analytics and the ethical issue of reducing people to data. This work discusses what People Analytics is, what topics can be developed, how HRIS can be transformed and what the future this area will have within companies. This work intends to contribute in this topic discussion, since it is relevant on Human Resources Management jobs, but also on the technological functions, mainly on information systems implementation to data collection, and in data analytics, both to promote data-driven approaches and decisions."
w,"The best companies compete with people analytics. They maximize the business value of their people to gain competitive advantage. This article proposes a network data science approach to people analytics. Using data from a software development organization, the article models developer contributions to project repositories as a bipartite weighted graph. This graph is projected into a weighted one-mode developer network to model collaboration. Techniques applied include centrality metrics, power-law estimation, community detection, and complex network dynamics. Among other results, the authors validate the existence of power-law relationships on project sizes (number of developers). As a methodological contribution, the article demonstrates how network data science can be used to derive a broad spectrum of insights about employee effort and collaboration in organizations. The authors discuss implications for managers and future research directions."
w,"Skills and competences of people participating in online professional networks constitute an ever-increasing new source for data collection and analysis. An important sub-domain of human resources management (HRM) is the recruitment process. Job advertisements and people profiles are main parts of recruitment and since are now available online, they constitute a key factor of a new e-recruitment era. Data mining for e-recruitment analysis is important in order to extract a knowledge base for people analytics. Skills and competences are the key variables for people analytics and can be drawn from job advertisements. Leveraging the raw information of online job offers, provides a rich source for people analytics. Detecting the appropriate skills and competences for a job from raw text data and associate them with a job seeker is an increasing challenge. The main objective of this paper is the proposal of a framework aiming to collect online job advertisements from a web source which concerns IT job offers and to extract from the raw text the required skills and competences for specific jobs. The selected professional networking web source is StackOverflow and multivariate statistical data analysis was used to test the correlations between skills and competences in the job offers dataset. The present work falls in a relatively new field of research, concerning the competence mining of peopleware data with special focus on software development."
w,"Researchers in the field of HRM and Strategic HRM have for several decades engaged in research endeavours to identify the link between HR investments and firm performance. Despite this, the field still has some way to go to definitively demonstrate this causal relationship; partly due to the cross-sectional nature of much of this research. In the current paper, we give a brief overview of the SHRM field and the benefits that the new subfield of People Analytics (PA) might bring to the area. We also conduct a brief survey of research in Insider Econometrics, an approach used in Personnel Economics to produce empirical estimates of the value of HR practices, to highlight longitudinal intra-firm research in economics that could provide insights to research exploring the HR investment-performance link (important in both SHRM and PA fields). We discuss the value of combining the business impact perspective of People Analytics that has a unique 'inside' (intra-firm) position, with the longitudinal intra-firm analysis approaches utilized in Insider Econometrics. We suggest that People Analytics researchers, who are able to draw on the theoretical developments in HRM field, would benefit from exploring existing research insights and methodological techniques used within the field of Insider Econometrics."
w,"Time is central to the purported business value of analytics. Yet, research has adopted a simplistic, 'clock' interpretation of time, ignoring its complex and socially embedded nature. There is also an overemphasis on analytics software and not on the people using them. Although analytics may be 'fast' to realise business value, it must cater to temporal complexities of organisations and people using it. Drawing on the temporality theory, this study develops temporal factors to examine the value of analytics. We also develop a research agenda that identifies opportunities to examine time, temporal personalities and other factors when people use analytics in the organisation."
w,"This article is about a training project within a leading Italian insurance company, based on people analytics and a blended learning program enhanced by e-REAL (R) and artificial intelligence. The intervention started with an Organizational Network Analysis regarding informal and spontaneous communication from which skills and ideas arise: this is the starting point that allows the HR Team to take decisions and outline strategies to support growth. Then, a Sentiment Analysis was performed, in order to track and monitor the climate in different clusters within the company, by mapping sentiment through natural language processing algorithms (all data anonymized). This step also opened to a Tensions Analysis targeting expressions of anger or misalignment with the corporate culture. As a further step, an Employees Potential Chart was developed. As an output of this phase, the HR Team was provided with essential metrics such as performance peaks, relational networks, communication and collaboration among teams and departments, key competencies, and skills. Then, a learning and development plan based on people analytics was designed: the main elements were interactive tutorials and immersive online experiences made by a multimedia and visual storytelling approach, as well as an extensive interaction within an escape room animated also by realistic avatars. A number of other methodologies were introduced as a further step: first of all training on-the-job, coaching, and mentoring. All the interventions were based on a large amount of people analytics collected from gamified activities, allowing for micro-targeted and highly precise interventions that are very innovative in the field of learning and development."
w,"Attrition models combine variables into statistical algorithms to understand and predict employee turnover. People analytics teams and external vendors use attrition models to offer insights and to develop organisational interventions. However, if attrition models or other data-driven models inform employment decisions, model scores may then be subjected to civil rights laws and diversity concerns resulting from group differences in scores. This paper discusses adverse impact when building attrition models, outlining how researchers test for adverse impact in this context, strategies to reduce group differences and how attrition modelling and other human resources 'big data' predictions fit within larger validity frameworks. Procedures were applied to field data in an applied demonstration of an attrition model with disparate impact. Model revisions resulted in adverse impact reductions while simultaneously maintaining model validity. Collectively, this paper provides timely attention to important aspects of the people analytics, turnover and legal domains."
w,"In times where change is a natural part of our daily corporate reality, global markets push international competition and demographic changes make it difficult to find qualified employees, the human as a major factor for organizational success receives raised attention. Companies have a great interest to know and to leverage the causal impact of emotions, needs and behaviors on strategic business areas (e.g. employee recruiting, employee commitment, customer satisfaction, competitive advantage). With a growing volume and variety of data made available by IT-supported processes and new data sources such as mobile data or corporate social media data, a new field of practice emerges: people analytics. This growing area of data analyses on all kinds of different questions relating to employee issues and leadership in organizations overlaps in many ways with the empirical psychological research of the last decades. People analytics yields a unique chance for organizational psychologists to delve into corporate waters and contribute their expertise to corporate research projects."
w,"In the era of data science and big data analytics, people analytics help organizations and their human resources (HR) managers to reduce attrition by changing the way of attracting and retaining talent. In this context, employee attrition presents a critical problem and a big risk for organizations as it affects not only their productivity but also their planning continuity. In this context, the salient contributions of this research are as follows. Firstly, we propose a people analytics approach to predict employee attrition that shifts from a big data to a deep data context by focusing on data quality instead of its quantity. In fact, this deep data-driven approach is based on a mixed method to construct a relevant employee attrition model in order to identify key employee features influencing his/her attrition. In this method, we started thinking 'big' by collecting most of the common features from the literature (an exploratory research) then we tried thinking 'deep' by filtering and selecting the most important features using survey and feature selection algorithms (a quantitative method). Secondly, this attrition prediction approach is based on machine, deep and ensemble learning models and is experimented on a large-sized and a medium-sized simulated human resources datasets and then a real small-sized dataset from a total of 450 responses. Our approach achieves higher accuracy (0.96, 0.98 and 0.99 respectively) for the three datasets when compared previous solutions. Finally, while rewards and payments are generally considered as the most important keys to retention, our findings indicate that 'business travel', which is less common in the literature, is the leading motivator for employees and must be considered within HR policies to retention."
w,"Ability to properly work with quantitative data is crucial for each segment of a company including Human Resource Management (HRM). People analytics represents a data- driven approach to HRM and implementation of quantitative models in decision processing of company's workforce planning. In this work we present a combined way of using a multiple correspondence analysis as multivariate analysis method that integrates ideas from multidimensional scaling in the field of people analytics. Several managers formulated ideas concerning possible dependencies and associations among length and frequency of absenteeism events, age of an employee, sex and employee's designation (blue collar, white collar). These ideas are formulated as hypotheses and tested on data set summarizing information about more than five thousand employees of six production companies from Moravian-Silesian region during period 01/2015 - 12/2016. Associations and particular patterns among specified categorical variables are interpreted using Multiple Correspondence Analysis (MCA). The main objective of this study is to discuss obtained information with focus on implementation of the results in the decision processing of HRM. We also conclude that MCA represents appropriate statistical tool for visualizing HRM data."
w,"Developers are using more and more different channels and tools to collaborate, and integrations between these tools are becoming more prevalent. In turn, more data about developers' interactions at work will become available. These developments will likely make People Analytics - using data to show and improve how people collaborate more accessible and in turn more important for software developers. Even though developer collaboration has been the focus of several research groups and studies, we believe these changes will qualitatively change how some developers work. We provide an introduction to existing work in this field and outline where it could be headed."
w,"Human Resource (HR) analytics (or people analytics) includes a large family of methods and applications aimed to analyse people-related data and build robust and effective HR-centred organizational processes. The development of HR analytics is a relevant trend, of major interest for scholars and practitioners, and this is particularly true in the postpandemic scenario, characterized by growing volatility, uncertainty and complexity. Such conditions are requiring organizations to increasingly put human resources at the centre of their resilience building and transformation processes. Advanced intelligence and decision support capabilities are crucial to build people-centred organizations, and new theory contributions and practitioner advancements are thus needed to provide robust conceptual frameworks and real-life applications. In such endeavour, we present HUMANWISE, an integrated HR analytics system providing analytics tools to support workforce status monitoring, competence re-allocation and development, and predictive analysis. We adopt an interdisciplinary and multi-dimensional approach and a mixed research process, which includes a systematic review of literature on HR analytics and a design science and group model building activity, aimed to involve key stakeholders in the conceptualization and development effort. We describe the conceptual architecture of the HR analytics system, with key design choices in terms of data input, processing and output. Next, we formulate a set of corporate scenarios and an illustrative dashboard to generate decision support functionalities for company managers and provide them with insights useful to build more robust HR-centred transformation plans."
w,"Cyber Threat Hunting is an emerging cyber security activity. Recent studies show that, although similar actions like threat hunting are being actively practiced in some organization, security administrator and policy makers are far from being satisfied with their effectiveness. Most security professionals lack expertise in data analytics while most people with data analytics skills lack security knowledge. To understand the necessity of threat hunting education at university level, we organized a Threat Hunting Competition on campus with generated logs. In this paper, we identify skills needed for cyber threat hunting, describe the data generation process as well as the usage of logs to teach threat hunting at universities."
w,"Organizations are transforming as they adopt new technologies and use new sources of data, changing the experiences of employees and pushing organizational researchers to respond. As employees perform their daily activities, they generate vast digital data. These data, when combined with established methods and new analytic techniques, create unprecedented opportunities for studying human behavior at work and have fueled the rise of people analytics as a new institutional field of practice. In this chapter, I describe the emerging field of people analytics and new organizational phenomena that accompany the use of data and algorithms. These practices are affecting how individuals, groups, and organizations function, ranging from decision-making processes and work procedures, to communication and collaboration, to attempts to monitor and control employees. In each of these domains, I describe recent research and propose new research directions. Many of these domains intersect with the emerging field of Computational Social Science, in which disciplinary scholars are applying computational methods to an expanding array of digitized data, pursuing interests that extend far into the organizational domain. Organizational scholars are well-positioned to bridge organizational and disciplinary advances to stay at the forefront of research on the future of work. (c) 2023 The Author. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)."
w,"During our tenure on Google's People Analytics team, we have participated in dozens of research partnerships. Some have been wildly successful, resulting in changes to our own organizational practices or policies as well as academic publications. Other partnerships have been less fruitful, largely because both science and organizations are messy and unpredictable. But no matter the outcome, nearly all of our partnerships have come about in the same waya way overlooked by the authors in their article (Lapierre et al., 2018)."
w,"The systematic application of analytical methods on human resources (HR)-related (big) data is referred to as HR analytics or people analytics. Typical problems in HR analytics include the estimation of churn rates, the identification of knowledge and skill in an organization, and the prediction of success on a job. HR analytics, as opposed to the simple use of key performance indicators, is a growing field of interest because of the rapid growth of volume, velocity, and variety of HR data, driven by the digitalization of work processes. Personnel files used to be in steel lockers in the past. They are now stored in company systems, along with data from hiring processes, employee satisfaction surveys, e-mails, and process data. With the growing prevalence of HR analytics, a discussion around its ethics needs to occur. The objective of this paper is to discuss the ethical implications of the application of sophisticated analytical methods to questions in HR management. This paper builds on previous literature in algorithmic fairness that focuses on technical options to identify, measure, and reduce discrimination in data analysis. This paper applies to HR analytics the ethical frameworks discussed in other fields including medicine, robotics, learning analytics, and coaching."
